Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov ,BOOTCAMP,16-05-2025,18:04:33,00:46:30,,142,,,,,590,,,,,,,,,,"5 rounds back squat 1pause + 2 regular (100, 110, 115, 120, 120)
wod started at 18:34
50 box + 40 row + 30 PC @ 71kg",175.0,78.0,181,55,58,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:02:37,125,,,,,,,,,
,00:02:38,125,,,,,,,,,
,00:02:39,125,,,,,,,,,
,00:02:40,125,,,,,,,,,
,00:02:41,124,,,,,,,,,
,00:02:42,124,,,,,,,,,
,00:02:43,121,,,,,,,,,
,00:02:44,115,,,,,,,,,
,00:02:45,115,,,,,,,,,
,00:02:46,110,,,,,,,,,
,00:02:47,110,,,,,,,,,
,00:02:48,112,,,,,,,,,
,00:02:49,112,,,,,,,,,
,00:02:50,111,,,,,,,,,
,00:02:51,111,,,,,,,,,
,00:02:52,110,,,,,,,,,
,00:02:53,109,,,,,,,,,
,00:02:54,109,,,,,,,,,
,00:02:55,109,,,,,,,,,
,00:02:56,108,,,,,,,,,
,00:02:57,108,,,,,,,,,
,00:02:58,107,,,,,,,,,
,00:02:59,105,,,,,,,,,
,00:03:00,106,,,,,,,,,
,00:03:01,106,,,,,,,,,
,00:03:02,107,,,,,,,,,
,00:03:03,109,,,,,,,,,
,00:03:04,109,,,,,,,,,
,00:03:05,109,,,,,,,,,
,00:03:06,108,,,,,,,,,
,00:03:07,106,,,,,,,,,
,00:03:08,104,,,,,,,,,
,00:03:09,105,,,,,,,,,
,00:03:10,107,,,,,,,,,
,00:03:11,107,,,,,,,,,
,00:03:12,109,,,,,,,,,
,00:03:13,109,,,,,,,,,
,00:03:14,109,,,,,,,,,
,00:03:15,109,,,,,,,,,
,00:03:16,109,,,,,,,,,
,00:03:17,109,,,,,,,,,
,00:03:18,107,,,,,,,,,
,00:03:19,107,,,,,,,,,
,00:03:20,105,,,,,,,,,
,00:03:21,105,,,,,,,,,
,00:03:22,104,,,,,,,,,
,00:03:23,104,,,,,,,,,
,00:03:24,103,,,,,,,,,
,00:03:25,103,,,,,,,,,
,00:03:26,103,,,,,,,,,
,00:03:27,102,,,,,,,,,
,00:03:28,100,,,,,,,,,
,00:03:29,100,,,,,,,,,
,00:03:30,98,,,,,,,,,
,00:03:31,98,,,,,,,,,
,00:03:32,98,,,,,,,,,
,00:03:33,98,,,,,,,,,
,00:03:34,99,,,,,,,,,
,00:03:35,99,,,,,,,,,
,00:03:36,101,,,,,,,,,
,00:03:37,101,,,,,,,,,
,00:03:38,102,,,,,,,,,
,00:03:39,101,,,,,,,,,
,00:03:40,102,,,,,,,,,
,00:03:41,102,,,,,,,,,
,00:03:42,103,,,,,,,,,
,00:03:43,102,,,,,,,,,
,00:03:44,102,,,,,,,,,
,00:03:45,104,,,,,,,,,
,00:03:46,104,,,,,,,,,
,00:03:47,104,,,,,,,,,
,00:03:48,104,,,,,,,,,
,00:03:49,105,,,,,,,,,
,00:03:50,105,,,,,,,,,
,00:03:51,105,,,,,,,,,
,00:03:52,104,,,,,,,,,
,00:03:53,104,,,,,,,,,
,00:03:54,106,,,,,,,,,
,00:03:55,106,,,,,,,,,
,00:03:56,109,,,,,,,,,
,00:03:57,109,,,,,,,,,
,00:03:58,109,,,,,,,,,
,00:03:59,110,,,,,,,,,
,00:04:00,110,,,,,,,,,
,00:04:01,111,,,,,,,,,
,00:04:02,111,,,,,,,,,
,00:04:03,109,,,,,,,,,
,00:04:04,109,,,,,,,,,
,00:04:05,103,,,,,,,,,
,00:04:06,101,,,,,,,,,
,00:04:07,101,,,,,,,,,
,00:04:08,101,,,,,,,,,
,00:04:09,104,,,,,,,,,
,00:04:10,104,,,,,,,,,
,00:04:11,104,,,,,,,,,
,00:04:12,102,,,,,,,,,
,00:04:13,100,,,,,,,,,
,00:04:14,100,,,,,,,,,
,00:04:15,98,,,,,,,,,
,00:04:16,97,,,,,,,,,
,00:04:17,98,,,,,,,,,
,00:04:18,98,,,,,,,,,
,00:04:19,101,,,,,,,,,
,00:04:20,106,,,,,,,,,
,00:04:21,106,,,,,,,,,
,00:04:22,111,,,,,,,,,
,00:04:23,111,,,,,,,,,
,00:04:24,110,,,,,,,,,
,00:04:25,108,,,,,,,,,
,00:04:26,108,,,,,,,,,
,00:04:27,108,,,,,,,,,
,00:04:28,110,,,,,,,,,
,00:04:29,116,,,,,,,,,
,00:04:30,116,,,,,,,,,
,00:04:31,119,,,,,,,,,
,00:04:32,119,,,,,,,,,
,00:04:33,120,,,,,,,,,
,00:04:34,121,,,,,,,,,
,00:04:35,121,,,,,,,,,
,00:04:36,122,,,,,,,,,
,00:04:37,122,,,,,,,,,
,00:04:38,122,,,,,,,,,
,00:04:39,122,,,,,,,,,
,00:04:40,122,,,,,,,,,
,00:04:41,123,,,,,,,,,
,00:04:42,123,,,,,,,,,
,00:04:43,121,,,,,,,,,
,00:04:44,120,,,,,,,,,
,00:04:45,120,,,,,,,,,
,00:04:46,121,,,,,,,,,
,00:04:47,121,,,,,,,,,
,00:04:48,121,,,,,,,,,
,00:04:49,121,,,,,,,,,
,00:04:50,121,,,,,,,,,
,00:04:51,122,,,,,,,,,
,00:04:52,122,,,,,,,,,
,00:04:53,120,,,,,,,,,
,00:04:54,119,,,,,,,,,
,00:04:55,120,,,,,,,,,
,00:04:56,120,,,,,,,,,
,00:04:57,122,,,,,,,,,
,00:04:58,122,,,,,,,,,
,00:04:59,120,,,,,,,,,
,00:05:00,120,,,,,,,,,
,00:05:01,119,,,,,,,,,
,00:05:02,119,,,,,,,,,
,00:05:03,119,,,,,,,,,
,00:05:04,118,,,,,,,,,
,00:05:05,118,,,,,,,,,
,00:05:06,118,,,,,,,,,
,00:05:07,119,,,,,,,,,
,00:05:08,120,,,,,,,,,
,00:05:09,120,,,,,,,,,
,00:05:10,119,,,,,,,,,
,00:05:11,118,,,,,,,,,
,00:05:12,118,,,,,,,,,
,00:05:13,118,,,,,,,,,
,00:05:14,120,,,,,,,,,
,00:05:15,120,,,,,,,,,
,00:05:16,120,,,,,,,,,
,00:05:17,119,,,,,,,,,
,00:05:18,119,,,,,,,,,
,00:05:19,117,,,,,,,,,
,00:05:20,117,,,,,,,,,
,00:05:21,112,,,,,,,,,
,00:05:22,112,,,,,,,,,
,00:05:23,109,,,,,,,,,
,00:05:24,109,,,,,,,,,
,00:05:25,108,,,,,,,,,
,00:05:26,99,,,,,,,,,
,00:05:27,99,,,,,,,,,
,00:05:28,100,,,,,,,,,
,00:05:29,100,,,,,,,,,
,00:05:30,106,,,,,,,,,
,00:05:31,106,,,,,,,,,
,00:05:32,109,,,,,,,,,
,00:05:33,110,,,,,,,,,
,00:05:34,111,,,,,,,,,
,00:05:35,111,,,,,,,,,
,00:05:36,112,,,,,,,,,
,00:05:37,110,,,,,,,,,
,00:05:38,110,,,,,,,,,
,00:05:39,104,,,,,,,,,
,00:05:40,103,,,,,,,,,
,00:05:41,104,,,,,,,,,
,00:05:42,104,,,,,,,,,
,00:05:43,106,,,,,,,,,
,00:05:44,106,,,,,,,,,
,00:05:45,105,,,,,,,,,
,00:05:46,105,,,,,,,,,
,00:05:47,105,,,,,,,,,
,00:05:48,104,,,,,,,,,
,00:05:49,103,,,,,,,,,
,00:05:50,103,,,,,,,,,
,00:05:51,100,,,,,,,,,
,00:05:52,97,,,,,,,,,
,00:05:53,97,,,,,,,,,
,00:05:54,97,,,,,,,,,
,00:05:55,97,,,,,,,,,
,00:05:56,98,,,,,,,,,
,00:05:57,98,,,,,,,,,
,00:05:58,98,,,,,,,,,
,00:05:59,98,,,,,,,,,
,00:06:00,95,,,,,,,,,
,00:06:01,95,,,,,,,,,
,00:06:02,94,,,,,,,,,
,00:06:03,97,,,,,,,,,
,00:06:04,101,,,,,,,,,
,00:06:05,101,,,,,,,,,
,00:06:06,107,,,,,,,,,
,00:06:07,107,,,,,,,,,
,00:06:08,107,,,,,,,,,
,00:06:09,109,,,,,,,,,
,00:06:10,109,,,,,,,,,
,00:06:11,109,,,,,,,,,
,00:06:12,109,,,,,,,,,
,00:06:13,109,,,,,,,,,
,00:06:14,110,,,,,,,,,
,00:06:15,111,,,,,,,,,
,00:06:16,111,,,,,,,,,
,00:06:17,111,,,,,,,,,
,00:06:18,112,,,,,,,,,
,00:06:19,111,,,,,,,,,
,00:06:20,111,,,,,,,,,
,00:06:21,108,,,,,,,,,
,00:06:22,108,,,,,,,,,
,00:06:23,109,,,,,,,,,
,00:06:24,111,,,,,,,,,
,00:06:25,111,,,,,,,,,
,00:06:26,115,,,,,,,,,
,00:06:27,115,,,,,,,,,
,00:06:28,117,,,,,,,,,
,00:06:29,117,,,,,,,,,
,00:06:30,117,,,,,,,,,
,00:06:31,116,,,,,,,,,
,00:06:32,116,,,,,,,,,
,00:06:33,110,,,,,,,,,
,00:06:34,109,,,,,,,,,
,00:06:35,109,,,,,,,,,
,00:06:36,108,,,,,,,,,
,00:06:37,108,,,,,,,,,
,00:06:38,108,,,,,,,,,
,00:06:39,109,,,,,,,,,
,00:06:40,109,,,,,,,,,
,00:06:41,110,,,,,,,,,
,00:06:42,111,,,,,,,,,
,00:06:43,111,,,,,,,,,
,00:06:44,111,,,,,,,,,
,00:06:45,110,,,,,,,,,
,00:06:46,109,,,,,,,,,
,00:06:47,109,,,,,,,,,
,00:06:48,110,,,,,,,,,
,00:06:49,110,,,,,,,,,
,00:06:50,110,,,,,,,,,
,00:06:51,112,,,,,,,,,
,00:06:52,112,,,,,,,,,
,00:06:53,115,,,,,,,,,
,00:06:54,115,,,,,,,,,
,00:06:55,115,,,,,,,,,
,00:06:56,114,,,,,,,,,
,00:06:57,114,,,,,,,,,
,00:06:58,114,,,,,,,,,
,00:06:59,113,,,,,,,,,
,00:07:00,114,,,,,,,,,
,00:07:01,114,,,,,,,,,
,00:07:02,114,,,,,,,,,
,00:07:03,117,,,,,,,,,
,00:07:04,117,,,,,,,,,
,00:07:05,118,,,,,,,,,
,00:07:06,118,,,,,,,,,
,00:07:07,118,,,,,,,,,
,00:07:08,119,,,,,,,,,
,00:07:09,119,,,,,,,,,
,00:07:10,120,,,,,,,,,
,00:07:11,120,,,,,,,,,
,00:07:12,120,,,,,,,,,
,00:07:13,119,,,,,,,,,
,00:07:14,119,,,,,,,,,
,00:07:15,119,,,,,,,,,
,00:07:16,119,,,,,,,,,
,00:07:17,118,,,,,,,,,
,00:07:18,117,,,,,,,,,
,00:07:19,117,,,,,,,,,
,00:07:20,117,,,,,,,,,
,00:07:21,117,,,,,,,,,
,00:07:22,116,,,,,,,,,
,00:07:23,114,,,,,,,,,
,00:07:24,114,,,,,,,,,
,00:07:25,114,,,,,,,,,
,00:07:26,111,,,,,,,,,
,00:07:27,112,,,,,,,,,
,00:07:28,112,,,,,,,,,
,00:07:29,112,,,,,,,,,
,00:07:30,112,,,,,,,,,
,00:07:31,112,,,,,,,,,
,00:07:32,112,,,,,,,,,
,00:07:33,113,,,,,,,,,
,00:07:34,113,,,,,,,,,
,00:07:35,116,,,,,,,,,
,00:07:36,116,,,,,,,,,
,00:07:37,118,,,,,,,,,
,00:07:38,118,,,,,,,,,
,00:07:39,119,,,,,,,,,
,00:07:40,119,,,,,,,,,
,00:07:41,119,,,,,,,,,
,00:07:42,117,,,,,,,,,
,00:07:43,117,,,,,,,,,
,00:07:44,117,,,,,,,,,
,00:07:45,117,,,,,,,,,
,00:07:46,116,,,,,,,,,
,00:07:47,116,,,,,,,,,
,00:07:48,116,,,,,,,,,
,00:07:49,117,,,,,,,,,
,00:07:50,119,,,,,,,,,
,00:07:51,119,,,,,,,,,
,00:07:52,120,,,,,,,,,
,00:07:53,120,,,,,,,,,
,00:07:54,123,,,,,,,,,
,00:07:55,126,,,,,,,,,
,00:07:56,128,,,,,,,,,
,00:07:57,128,,,,,,,,,
,00:07:58,128,,,,,,,,,
,00:07:59,124,,,,,,,,,
,00:08:00,124,,,,,,,,,
,00:08:01,122,,,,,,,,,
,00:08:02,122,,,,,,,,,
,00:08:03,122,,,,,,,,,
,00:08:04,122,,,,,,,,,
,00:08:05,123,,,,,,,,,
,00:08:06,123,,,,,,,,,
,00:08:07,126,,,,,,,,,
,00:08:08,127,,,,,,,,,
,00:08:09,128,,,,,,,,,
,00:08:10,129,,,,,,,,,
,00:08:11,129,,,,,,,,,
,00:08:12,129,,,,,,,,,
,00:08:13,133,,,,,,,,,
,00:08:14,133,,,,,,,,,
,00:08:15,133,,,,,,,,,
,00:08:16,135,,,,,,,,,
,00:08:17,137,,,,,,,,,
,00:08:18,137,,,,,,,,,
,00:08:19,137,,,,,,,,,
,00:08:20,137,,,,,,,,,
,00:08:21,137,,,,,,,,,
,00:08:22,137,,,,,,,,,
,00:08:23,136,,,,,,,,,
,00:08:24,136,,,,,,,,,
,00:08:25,136,,,,,,,,,
,00:08:26,136,,,,,,,,,
,00:08:27,135,,,,,,,,,
,00:08:28,135,,,,,,,,,
,00:08:29,135,,,,,,,,,
,00:08:30,135,,,,,,,,,
,00:08:31,135,,,,,,,,,
,00:08:32,135,,,,,,,,,
,00:08:33,136,,,,,,,,,
,00:08:34,136,,,,,,,,,
,00:08:35,136,,,,,,,,,
,00:08:36,136,,,,,,,,,
,00:08:37,135,,,,,,,,,
,00:08:38,135,,,,,,,,,
,00:08:39,135,,,,,,,,,
,00:08:40,135,,,,,,,,,
,00:08:41,137,,,,,,,,,
,00:08:42,137,,,,,,,,,
,00:08:43,139,,,,,,,,,
,00:08:44,139,,,,,,,,,
,00:08:45,139,,,,,,,,,
,00:08:46,140,,,,,,,,,
,00:08:47,140,,,,,,,,,
,00:08:48,138,,,,,,,,,
,00:08:49,135,,,,,,,,,
,00:08:50,135,,,,,,,,,
,00:08:51,133,,,,,,,,,
,00:08:52,134,,,,,,,,,
,00:08:53,134,,,,,,,,,
,00:08:54,136,,,,,,,,,
,00:08:55,137,,,,,,,,,
,00:08:56,138,,,,,,,,,
,00:08:57,138,,,,,,,,,
,00:08:58,138,,,,,,,,,
,00:08:59,137,,,,,,,,,
,00:09:00,137,,,,,,,,,
,00:09:01,139,,,,,,,,,
,00:09:02,139,,,,,,,,,
,00:09:03,140,,,,,,,,,
,00:09:04,140,,,,,,,,,
,00:09:05,139,,,,,,,,,
,00:09:06,139,,,,,,,,,
,00:09:07,137,,,,,,,,,
,00:09:08,137,,,,,,,,,
,00:09:09,136,,,,,,,,,
,00:09:10,136,,,,,,,,,
,00:09:11,136,,,,,,,,,
,00:09:12,136,,,,,,,,,
,00:09:13,132,,,,,,,,,
,00:09:14,132,,,,,,,,,
,00:09:15,130,,,,,,,,,
,00:09:16,129,,,,,,,,,
,00:09:17,129,,,,,,,,,
,00:09:18,132,,,,,,,,,
,00:09:19,133,,,,,,,,,
,00:09:20,133,,,,,,,,,
,00:09:21,131,,,,,,,,,
,00:09:22,131,,,,,,,,,
,00:09:23,131,,,,,,,,,
,00:09:24,131,,,,,,,,,
,00:09:25,131,,,,,,,,,
,00:09:26,133,,,,,,,,,
,00:09:27,133,,,,,,,,,
,00:09:28,134,,,,,,,,,
,00:09:29,134,,,,,,,,,
,00:09:30,133,,,,,,,,,
,00:09:31,135,,,,,,,,,
,00:09:32,135,,,,,,,,,
,00:09:33,136,,,,,,,,,
,00:09:34,136,,,,,,,,,
,00:09:35,140,,,,,,,,,
,00:09:36,142,,,,,,,,,
,00:09:37,143,,,,,,,,,
,00:09:38,143,,,,,,,,,
,00:09:39,144,,,,,,,,,
,00:09:40,145,,,,,,,,,
,00:09:41,144,,,,,,,,,
,00:09:42,143,,,,,,,,,
,00:09:43,143,,,,,,,,,
,00:09:44,143,,,,,,,,,
,00:09:45,143,,,,,,,,,
,00:09:46,144,,,,,,,,,
,00:09:47,144,,,,,,,,,
,00:09:48,144,,,,,,,,,
,00:09:49,143,,,,,,,,,
,00:09:50,143,,,,,,,,,
,00:09:51,141,,,,,,,,,
,00:09:52,140,,,,,,,,,
,00:09:53,140,,,,,,,,,
,00:09:54,140,,,,,,,,,
,00:09:55,140,,,,,,,,,
,00:09:56,138,,,,,,,,,
,00:09:57,138,,,,,,,,,
,00:09:58,138,,,,,,,,,
,00:09:59,141,,,,,,,,,
,00:10:00,141,,,,,,,,,
,00:10:01,141,,,,,,,,,
,00:10:02,141,,,,,,,,,
,00:10:03,140,,,,,,,,,
,00:10:04,140,,,,,,,,,
,00:10:05,140,,,,,,,,,
,00:10:06,140,,,,,,,,,
,00:10:07,140,,,,,,,,,
,00:10:08,140,,,,,,,,,
,00:10:09,141,,,,,,,,,
,00:10:10,141,,,,,,,,,
,00:10:11,143,,,,,,,,,
,00:10:12,144,,,,,,,,,
,00:10:13,142,,,,,,,,,
,00:10:14,142,,,,,,,,,
,00:10:15,142,,,,,,,,,
,00:10:16,141,,,,,,,,,
,00:10:17,141,,,,,,,,,
,00:10:18,140,,,,,,,,,
,00:10:19,138,,,,,,,,,
,00:10:20,138,,,,,,,,,
,00:10:21,138,,,,,,,,,
,00:10:22,138,,,,,,,,,
,00:10:23,139,,,,,,,,,
,00:10:24,138,,,,,,,,,
,00:10:25,138,,,,,,,,,
,00:10:26,139,,,,,,,,,
,00:10:27,139,,,,,,,,,
,00:10:28,139,,,,,,,,,
,00:10:29,138,,,,,,,,,
,00:10:30,137,,,,,,,,,
,00:10:31,137,,,,,,,,,
,00:10:32,137,,,,,,,,,
,00:10:33,135,,,,,,,,,
,00:10:34,134,,,,,,,,,
,00:10:35,134,,,,,,,,,
,00:10:36,132,,,,,,,,,
,00:10:37,132,,,,,,,,,
,00:10:38,129,,,,,,,,,
,00:10:39,129,,,,,,,,,
,00:10:40,129,,,,,,,,,
,00:10:41,136,,,,,,,,,
,00:10:42,138,,,,,,,,,
,00:10:43,138,,,,,,,,,
,00:10:44,140,,,,,,,,,
,00:10:45,140,,,,,,,,,
,00:10:46,140,,,,,,,,,
,00:10:47,141,,,,,,,,,
,00:10:48,141,,,,,,,,,
,00:10:49,141,,,,,,,,,
,00:10:50,143,,,,,,,,,
,00:10:51,143,,,,,,,,,
,00:10:52,144,,,,,,,,,
,00:10:53,145,,,,,,,,,
,00:10:54,145,,,,,,,,,
,00:10:55,147,,,,,,,,,
,00:10:56,147,,,,,,,,,
,00:10:57,149,,,,,,,,,
,00:10:58,151,,,,,,,,,
,00:10:59,151,,,,,,,,,
,00:11:00,151,,,,,,,,,
,00:11:01,151,,,,,,,,,
,00:11:02,152,,,,,,,,,
,00:11:03,152,,,,,,,,,
,00:11:04,152,,,,,,,,,
,00:11:05,152,,,,,,,,,
,00:11:06,152,,,,,,,,,
,00:11:07,151,,,,,,,,,
,00:11:08,150,,,,,,,,,
,00:11:09,150,,,,,,,,,
,00:11:10,150,,,,,,,,,
,00:11:11,150,,,,,,,,,
,00:11:12,149,,,,,,,,,
,00:11:13,149,,,,,,,,,
,00:11:14,149,,,,,,,,,
,00:11:15,149,,,,,,,,,
,00:11:16,149,,,,,,,,,
,00:11:17,149,,,,,,,,,
,00:11:18,149,,,,,,,,,
,00:11:19,148,,,,,,,,,
,00:11:20,148,,,,,,,,,
,00:11:21,148,,,,,,,,,
,00:11:22,148,,,,,,,,,
,00:11:23,146,,,,,,,,,
,00:11:24,146,,,,,,,,,
,00:11:25,146,,,,,,,,,
,00:11:26,144,,,,,,,,,
,00:11:27,144,,,,,,,,,
,00:11:28,144,,,,,,,,,
,00:11:29,143,,,,,,,,,
,00:11:30,143,,,,,,,,,
,00:11:31,143,,,,,,,,,
,00:11:32,144,,,,,,,,,
,00:11:33,144,,,,,,,,,
,00:11:34,144,,,,,,,,,
,00:11:35,144,,,,,,,,,
,00:11:36,143,,,,,,,,,
,00:11:37,143,,,,,,,,,
,00:11:38,143,,,,,,,,,
,00:11:39,143,,,,,,,,,
,00:11:40,144,,,,,,,,,
,00:11:41,144,,,,,,,,,
,00:11:42,144,,,,,,,,,
,00:11:43,144,,,,,,,,,
,00:11:44,144,,,,,,,,,
,00:11:45,145,,,,,,,,,
,00:11:46,145,,,,,,,,,
,00:11:47,146,,,,,,,,,
,00:11:48,146,,,,,,,,,
,00:11:49,147,,,,,,,,,
,00:11:50,148,,,,,,,,,
,00:11:51,148,,,,,,,,,
,00:11:52,148,,,,,,,,,
,00:11:53,147,,,,,,,,,
,00:11:54,146,,,,,,,,,
,00:11:55,146,,,,,,,,,
,00:11:56,144,,,,,,,,,
,00:11:57,144,,,,,,,,,
,00:11:58,142,,,,,,,,,
,00:11:59,139,,,,,,,,,
,00:12:00,139,,,,,,,,,
,00:12:01,139,,,,,,,,,
,00:12:02,141,,,,,,,,,
,00:12:03,141,,,,,,,,,
,00:12:04,142,,,,,,,,,
,00:12:05,142,,,,,,,,,
,00:12:06,141,,,,,,,,,
,00:12:07,140,,,,,,,,,
,00:12:08,139,,,,,,,,,
,00:12:09,139,,,,,,,,,
,00:12:10,139,,,,,,,,,
,00:12:11,140,,,,,,,,,
,00:12:12,142,,,,,,,,,
,00:12:13,142,,,,,,,,,
,00:12:14,143,,,,,,,,,
