Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,26-11-2025,10:29:57,0:09:22,0.00,114,,,,,69,,,,,,,,,,"30 sec Bulgarian split squats @ 22.5kg single db
30 sec rest 
30 sec turkish sit-ups @ 20kg plate
30 sec rest 

4 rounds",None,None,134,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:04:46,114,,,,,,,,,
,00:04:47,115,,,,,,,,,
,00:04:48,115,,,,,,,,,
,00:04:49,116,,,,,,,,,
,00:04:50,116,,,,,,,,,
,00:04:51,116,,,,,,,,,
,00:04:52,117,,,,,,,,,
,00:04:53,118,,,,,,,,,
,00:04:54,120,,,,,,,,,
,00:04:55,121,,,,,,,,,
,00:04:56,122,,,,,,,,,
,00:04:57,123,,,,,,,,,
,00:04:58,124,,,,,,,,,
,00:04:59,125,,,,,,,,,
,00:05:00,125,,,,,,,,,
,00:05:01,126,,,,,,,,,
,00:05:02,126,,,,,,,,,
,00:05:03,127,,,,,,,,,
,00:05:04,127,,,,,,,,,
,00:05:05,128,,,,,,,,,
,00:05:06,128,,,,,,,,,
,00:05:07,129,,,,,,,,,
,00:05:08,129,,,,,,,,,
,00:05:09,129,,,,,,,,,
,00:05:10,129,,,,,,,,,
,00:05:11,130,,,,,,,,,
,00:05:12,130,,,,,,,,,
,00:05:13,130,,,,,,,,,
,00:05:14,130,,,,,,,,,
,00:05:15,130,,,,,,,,,
,00:05:16,131,,,,,,,,,
,00:05:17,131,,,,,,,,,
,00:05:18,132,,,,,,,,,
,00:05:19,132,,,,,,,,,
,00:05:20,132,,,,,,,,,
,00:05:21,132,,,,,,,,,
,00:05:22,132,,,,,,,,,
,00:05:23,132,,,,,,,,,
,00:05:24,132,,,,,,,,,
,00:05:25,132,,,,,,,,,
,00:05:26,132,,,,,,,,,
,00:05:27,131,,,,,,,,,
,00:05:28,131,,,,,,,,,
,00:05:29,130,,,,,,,,,
,00:05:30,129,,,,,,,,,
,00:05:31,128,,,,,,,,,
